Prefix,Base,Sep,Meaning
ver,letzen,i,"harm, injure"
ver,lieren,i,lose
ge,lingen,i,succeed
auf,lockern,s,liven up (a party)
aus,machen,s,"turn off (light), put out (fire)"
mit,machen,s,participate w. s.o.
ver,meiden,i,avoid
ent,mutigen,i,discourage
er,nähren,i,"feed, nourish"
ab,nehmen,s,lose weight
auf,nehmen,s,take a picture of
ein,nehmen,s,earn
mit,nehmen,s,take along
teil,nehmen,s,take part
vor,nehmen,s,carry out a task
weg,nehmen,s,take away
ge,nießen,i,enjoy
aus,nutzen,s,"take advantage of (person, opportunity)"
er,pressen,i,"blackmail, extort"
nach,prüfen,s,double check
auf,räumen,s,clean up (a room)
weg,räumen,s,clear away (mess)
ein,richten,s,"furnish (apartment), arrange (furniture)"
ab,sagen,s,cancel
ein,schätzen,s,"judge, guess (size, value)"
an,schauen,s,"look at, watch"
an,schauen,s,watch
ge,schehen,i,happen
ent,scheiden,i,decide
er,schießen,i,shoot (dead)
ein,schlafen,s,fall asleep
auf,schlagen,s,"open (eyes, book)"
nach,schlagen,s,look up (a dictionary)
zer,schlagen,i,smash up
ab,schließen,s,finish
aus,schließen,s,"lock out, exclude"
be,schließen,i,decide
ent,schließen,i,decide
er,schrecken,i,"scare, frighten"
ver,schreiben,i,prescribe
ein,schüchtern,s,"intimidate, bully"
ver,schwenden,i,"waste (money, time, resources)"
ver,schwinden,i,disappear
fern,sehen,s,watch TV
ent,setzen,i,horrify
er,setzen,i,replace
ver,sichern,i,insure
ent,spannen,i,relax
ver,späten,i,be late
mit,spielen,s,play along (sport)
vor,spielen,s,play (a movie)
aus,sprechen,s,pronounce
be,sprechen,i,discuss
ent,sprechen,i,"match, correspond to"
zer,springen,i,jump apart
ge,stalten,i,"arrange (an exhibit), set up, design"
auf,stehen,s,wake up
aus,stehen,s,stand s.o.
ent,stehen,i,"arise, develop"
ver,stehen,i,understand
aus,steigen,s,get out (of a bus)
ein,steigen,s,get in (a bus)
an,stellen,s,"hire, employ"
vor,stellen,s,"introduce, imagine"
aus,sterben,s,die out
zer,stören,i,disturb
ver,suchen,i,"try, attempt"
aus,tauschen,s,exchange
ent,täuschen,i,disappoint
mit,teilen,s,"inform, share knowledge"
vor,tragen,s,"perform (play), give lecture/opinion"
er,tragen,i,"bear, endure"
er,tränken,i,drown (someone)
ver,trauen,i,trust
ab,treiben,s,abort
weg,treten,s,step away
nach,tun,s,follow s.o.'s example
auf,wachsen,s,grow up
er,warten,i,expect
an,weisen,s,instruct
an,wenden,s,use
los,werden,s,"get rid of, spend, lose"
ein,werfen,s,"throw in (remark, towel)"
weg,werfen,s,throw away
ent,wickeln,i,"develop, turn (into)"
ge,winnen,i,win
ge,wöhnen,i,get used to
ver,wöhnen,i,spoil (a child)
nach,zählen,s,double check numbers
er,zählen,i,tell a story
ver,zeihen,i,"forgive, excuse, pardon"
ein,ziehen,s,move in (a new apartment)
weg,ziehen,s,pull away
er,ziehen,i,"raise, bring up"
